dst,dst_burton,dst_corrector,dst_final,err_burton,err_corrector,err_final,anomaly_score,recon_error,alert_level,w_burton,w_corrector,blend_certainty,storm_phase
-33.0,-3.37898325920105,-26.866774320602417,-14.790693283081055,29.62101674079895,6.133225679397583,18.209306716918945,0.0,0.03352169319987297,GREEN,0.5141428112983704,0.48585712909698486,0.028285682201385498,3
-33.0,-3.3716695308685303,-26.81350874900818,-14.800078392028809,29.62833046913147,6.186491250991821,18.19992160797119,0.0,0.033531609922647476,GREEN,0.5124781131744385,0.48752182722091675,0.02495628595352173,3
-33.0,-3.3643715381622314,-26.78621220588684,-14.76791763305664,29.63562846183777,6.213787794113159,18.23208236694336,0.0,0.03349318727850914,GREEN,0.5131234526634216,0.48687660694122314,0.026246845722198486,3
-33.0,-3.3570892810821533,-26.815621614456177,-14.757856369018555,29.642910718917847,6.184378385543823,18.242143630981445,0.0,0.033497054129838943,GREEN,0.5140034556388855,0.4859965741634369,0.02800688147544861,3
-33.0,-3.349822759628296,-27.05896544456482,-14.880617141723633,29.650177240371704,5.941034555435181,18.119382858276367,0.0,0.033488962799310684,GREEN,0.5136561989784241,0.4863438010215759,0.027312397956848145,3
-33.0,-3.342571973800659,-27.275273084640503,-14.940629959106445,29.65742802619934,5.724726915359497,18.059370040893555,0.0,0.033384934067726135,GREEN,0.5153886079788208,0.4846113622188568,0.03077724575996399,3
-33.0,-3.335336923599243,-27.226988077163696,-14.945788383483887,29.664663076400757,5.773011922836304,18.054211616516113,0.0,0.03328989818692207,GREEN,0.5140373110771179,0.4859626889228821,0.02807462215423584,3
-33.0,-3.328117609024048,-27.34455895423889,-15.007027626037598,29.671882390975952,5.655441045761108,17.992972373962402,0.0,0.033106692135334015,GREEN,0.5137118101119995,0.4862881302833557,0.0274236798286438,3
-33.0,-3.320913791656494,-27.22489023208618,-14.998717308044434,29.679086208343506,5.775109767913818,18.001282691955566,0.0,0.03293967247009277,GREEN,0.5114702582359314,0.488529771566391,0.022940486669540405,3
-33.0,-3.313725709915161,-26.750781297683716,-14.817870140075684,29.68627429008484,6.249218702316284,18.182129859924316,0.0,0.032824356108903885,GREEN,0.5091472268104553,0.49085280299186707,0.018294423818588257,3
-33.0,-3.3065531253814697,-26.77911400794983,-14.8445463180542,29.69344687461853,6.220885992050171,18.1554536819458,0.0,0.03282139450311661,GREEN,0.5084477066993713,0.49155235290527344,0.0168953537940979,3
-33.0,-3.29939603805542,-26.49788236618042,-14.707552909851074,29.70060396194458,6.50211763381958,18.292447090148926,0.0,0.03282519429922104,GREEN,0.5082370042800903,0.49176299571990967,0.016474008560180664,3
-33.0,-3.2922544479370117,-26.421015739440918,-14.671547889709473,29.70774555206299,6.578984260559082,18.328452110290527,0.0,0.03291181102395058,GREEN,0.5080024003982544,0.49199753999710083,0.016004860401153564,3
-33.0,-3.285128355026245,-26.403692960739136,-14.659350395202637,29.714871644973755,6.596307039260864,18.340649604797363,0.0,0.032890159636735916,GREEN,0.5080048441886902,0.4919951856136322,0.016009658575057983,3
-33.0,-3.27801775932312,-26.595770597457886,-14.74134635925293,29.72198224067688,6.404229402542114,18.25865364074707,0.0,0.0328369066119194,GREEN,0.5083861947059631,0.4916137754917145,0.016772419214248657,3
-33.0,-3.2709224224090576,-26.678704023361206,-14.78610610961914,29.729077577590942,6.321295976638794,18.21389389038086,0.0,0.032772574573755264,GREEN,0.5080617070198059,0.4919382631778717,0.016123443841934204,3
-33.0,-3.2638425827026367,-27.061867713928223,-14.941746711730957,29.736157417297363,5.938132286071777,18.058253288269043,0.0,0.03272894769906998,GREEN,0.5092910528182983,0.49070897698402405,0.018582075834274292,3
-33.0,-3.2567780017852783,-27.520598649978638,-15.112588882446289,29.74322199821472,5.479401350021362,17.88741111755371,0.0,0.03260418772697449,GREEN,0.511379063129425,0.48862093687057495,0.022758126258850098,3
-33.0,-3.2497286796569824,-27.39176893234253,-15.057463645935059,29.750271320343018,5.608231067657471,17.94253635406494,0.0,0.03252614289522171,GREEN,0.5109056830406189,0.4890943169593811,0.021811366081237793,3
-33.0,-3.242694616317749,-27.381587743759155,-15.05443286895752,29.75730538368225,5.618412256240845,17.94556713104248,0.0,0.03246620297431946,GREEN,0.5106760859489441,0.4893239140510559,0.021352171897888184,3
-33.0,-3.235675811767578,-27.63901138305664,-15.16550064086914,29.764324188232422,5.360988616943359,17.83449935913086,0.0,0.032517265528440475,GREEN,0.5111395716667175,0.48886042833328247,0.02227914333343506,3
-33.0,-3.2286722660064697,-27.695568323135376,-15.201608657836914,29.77132773399353,5.304431676864624,17.798391342163086,0.0,0.03231284022331238,GREEN,0.5106475353240967,0.4893524646759033,0.02129507064819336,3
-33.0,-3.2216837406158447,-27.567087411880493,-15.14069938659668,29.778316259384155,5.432912588119507,17.85930061340332,0.0,0.031924769282341,GREEN,0.5104202628135681,0.4895797073841095,0.020840555429458618,3
-32.0,-3.2147104740142822,-27.892601251602173,-15.307188987731934,28.785289525985718,4.107398748397827,16.692811012268066,0.0,0.03179600462317467,GREEN,0.5099872946739197,0.49001264572143555,0.01997464895248413,3
-32.0,-3.207752227783203,-27.68674087524414,-15.225528717041016,28.792247772216797,4.313259124755859,16.774471282958984,0.0,0.03193249925971031,GREEN,0.5090575218200684,0.49094250798225403,0.01811501383781433,3
-32.0,-3.2008090019226074,-27.67313528060913,-15.243103981018066,28.799190998077393,4.326864719390869,16.756896018981934,0.0,0.03188122436404228,GREEN,0.5079219341278076,0.4920780658721924,0.015843868255615234,3
-32.0,-3.193880796432495,-27.43633532524109,-15.167277336120605,28.806119203567505,4.563664674758911,16.832722663879395,0.0,0.03187697008252144,GREEN,0.5060980319976807,0.4939019978046417,0.01219603419303894,3
-32.0,-3.186967611312866,-27.658218145370483,-15.268338203430176,28.813032388687134,4.341781854629517,16.731661796569824,0.0,0.03183736279606819,GREEN,0.5063035488128662,0.4936964809894562,0.012607067823410034,3
-32.0,-3.1800694465637207,-27.49573564529419,-15.191235542297363,28.81993055343628,4.5042643547058105,16.808764457702637,0.0,0.03185626119375229,GREEN,0.5060316920280457,0.49396824836730957,0.012063443660736084,3
-32.0,-3.1731860637664795,-27.82049059867859,-15.298240661621094,28.82681393623352,4.179509401321411,16.701759338378906,0.0,0.03175859898328781,GREEN,0.5080575942993164,0.4919424057006836,0.016115188598632812,3
-32.0,-3.1663177013397217,-27.617926359176636,-15.201059341430664,28.83368229866028,4.382073640823364,16.798940658569336,0.0,0.031615789979696274,GREEN,0.5078139305114746,0.4921860992908478,0.01562783122062683,3
-32.0,-3.159464120864868,-27.718149423599243,-15.19789981842041,28.840535879135132,4.281850576400757,16.80210018157959,0.0,0.031451042741537094,GREEN,0.5098094940185547,0.4901905655860901,0.0196189284324646,3
-32.0,-3.152625560760498,-28.039340496063232,-15.354325294494629,28.847374439239502,3.9606595039367676,16.64567470550537,0.0,0.03128834068775177,GREEN,0.5097103118896484,0.49028968811035156,0.019420623779296875,3
-32.0,-3.1458017826080322,-27.636255502700806,-15.18934440612793,28.854198217391968,4.363744497299194,16.81065559387207,0.0,0.031156957149505615,GREEN,0.5082352161407471,0.49176478385925293,0.01647043228149414,3
